#,English/Russian,POS,Level,Serbian
627,criterion / критерий,Noun,B2,критеријум
628,critic / критик,Noun,B2,критичар
629,critical / критический,Adjective,B2,критичан
630,criticism / критика,Noun,B2,критика
631,criticize / критиковать,Verb,B2,критиковати
632,crop / обрезать,Noun,B2,усев
633,cross / Пересекать,Verb Noun,A2,крст
634,crowd / куча,Noun,A2,гомила
635,crowded / толпа,Adjective,A2,гужва
636,crucial / решающий,Adjective,B2,пресудан
637,cruel / жестокий,Adjective,B1,окрутан
638,cry / плач,Verb Noun,"A2, B2",плач
639,cultural / культурный,Adjective,B1,културни
640,culture / культура,Noun,A1,култура
641,cup / чашка,Noun,A1,шоља
642,cupboard / буфет,Noun,A2,креденац
643,cure / лекарственное средство,Verb Noun,B2,лек
644,curly / кудрявые волосы,Adjective,A2,коврџава
645,currency / валюта,Noun,B1,валута
646,current / Текущий,"Adjective, Noun","B1, B2",Тренутни
647,currently / В данный момент,Adverb,B1,тренутно
648,curtain / штора,Noun,B1,завеса
649,curve / Кривая,Noun Verb,B2,крива
650,curved / изогнутый,Adjective,B2,закривљен
651,custom / обычай,Noun,B1,обичај
652,customer / покупатель,Noun,A1,купац
653,cut / резать,"Verb , Noun","A1, B1",рез
654,cycle / цикл,Noun Verb,"A2, B1",циклус
655,dad / папа,Noun,A1,тата
656,daily / повседневная,"Adjective, Adverb","A2, B1",дневно
657,damage / жалость,Noun Verb,B1,штета
658,dance / танец,Noun Verb,A1,данце
659,dancer / Танцор,Noun,A1,плесач
660,dancing / играть,Noun,A1,играње
661,danger / Опасность,Noun,A2,опасност
662,dangerous / опасный,Adjective,A1,опасан
663,dark / темнота,"Adjective, Noun","A1, A2",мрак
664,data / данные,Noun,A2,подаци
665,date / свидание,Noun Verb,"A1, B2",датум
666,daughter / дочь,Noun,A1,ћерка
667,day / день,Noun,A1,дан
668,dead / мертвых,Adjective,A2,мртав
669,deal / соглашение,Verb Noun,"A2, B1",договор
670,dear / Уважаемые,"Adjective, exclam","A1, A2",драг
671,death / смерть,Noun,A2,смрт
672,debate / дебаты,Noun Verb,B2,дебата
673,debt / долг,Noun,B2,дуг
674,decade / десятилетие,Noun,B1,декада
675,December / Декабрь,Noun,A1,децембар
676,decent / вежливый,Adjective,B2,пристојан
677,decide / решать,Verb,A1,одлучити
678,decision / решение,Noun,A2,одлука
679,declare / Объявить,Verb,B2,Децларе
680,decline / мусор,Verb Noun,B2,одбити
681,decorate / украшать,Verb,B1,украсити
682,decoration / украшение,Noun,B2,декорација
683,decrease / снижение,Verb Noun,B2,smanjenje
684,deep / глубокий,"Adjective, Adverb","A2, B1",дубоко
685,deeply / глубокий,Adverb,B2,дубоко
686,defeat / поражение,Verb Noun,B2,пораз
687,defence / защита,Noun,B2,одбрана
688,defend / защищать,Verb,B2,бранити
689,define / определять,Verb,B1,дефинисати
690,definite / определенный,Adjective,B1,одређен
691,definitely / Определенно,Adverb,A2,дефинитивно
692,definition / определение,Noun,B1,дефиниција
693,degree / степень,Noun,A2,степен
694,delay / задерживать,Verb Noun,B2,кашњење
695,deliberate / нарочно,Adjective,B2,намјерно
696,deliberately / нарочно,Adverb,B2,намерно
697,delicious / вкусно,Adjective,A1,укусан
698,delight / удовольствие,Verb Noun,B2,уживање
699,delighted / получивший удовольствие,Adjective,B2,одушевљен
700,deliver / доставлять,Verb,B1,доставити
701,delivery / Доставка,Noun,B2,испорука
702,demand / требование,Noun Verb,B2,потражња
703,demonstrate / продемонстрировать,Verb,B2,демонстрирати
704,dentist / Дантист,Noun,A2,стоматолог
705,deny / отрицать,Verb,B2,негирати
706,department / отделение,Noun,A2,одељење
707,departure / уход,Noun,B1,одлазак
708,depend / зависеть,Verb,A2,зависити
709,depressed / депрессия,Adjective,B2,депресиван
710,depressing / депрессивный,Adjective,B2,депресивно
711,depth / глубина,Noun,B2,дубина
712,describe / описывать,Verb,A1,описати
713,description / Описание,Noun,A1,Опис
714,desert / пустыня,Noun Verb,"A2, B2",пустиња
715,deserve / заслуживать,Verb,B2,заслужити
716,design / дизайн,Noun Verb,A1,дизајн
717,designer / дизайнер,Noun,A2,дизајнер
718,desire / желание,Noun Verb,B2,жеља
719,desk / стол письменный,Noun,A1,радни сто
720,desperate / отчаянный,Adjective,B2,очајан
721,despite / несмотря на,prep,B1,упркос
722,destination / назначения,Noun,B1,дестинација
723,destroy / разрушать,Verb,A2,уништити
724,detail / деталь,Noun Verb,"A1, B2",детаљ
725,detailed / подробный,Adjective,B2,детаилед
726,detect / открывать,Verb,B2,открити
727,detective / Детектив,Noun,A2,детектив
728,determine / определять,Verb,B1,одредити
729,determined / определенный,Adjective,B1,одлучан
730,develop / развивать,Verb,A2,развити
731,development / разработка,Noun,B1,развој
732,device / устройство,Noun,A2,уређај
733,diagram / диаграмма,Noun,B1,дијаграм
734,dialogue / диалог,Noun,A1,дијалог
735,diamond / Алмаз,Noun,B1,дијамант
736,diary / дневник,Noun,A2,дневник
737,dictionary / запас слов,Noun,A1,речник
738,die / умереть,Verb,A1,умрети
739,diet / питание,Noun,A1,исхрана
740,difference / разница,Noun,A1,разлика
741,different / другой,Adjective,A1,различит
742,differently / иначе,Adverb,A2,различито
743,difficult / тяжелый,Adjective,A1,тежак
744,difficulty / проблема,Noun,B1,проблем
745,dig / копать,Verb,B2,копати
746,digital / цифровой,Adjective,A2,дигитални
747,dinner / обед,Noun,A1,вечера
748,direct / непосредственный,"Adjective, Verb Adverb","A2, B1",директан
749,direction / направление,Noun,A2,правац
750,directly / напрямую,Adverb,B1,директно
751,director / директор,Noun,A2,директор
752,dirt / грязь,Noun,B1,прљавштина
753,dirty / грязный,Adjective,A1,прљав
754,Dis Adverbantage / dis Наречие,Noun,B1,дис Адвербантаге
755,disagree / я не согласен,Verb,A2,не слазем се
756,disappear / пропадать,Verb,A2,нестати
757,disappointed / разочарован,Adjective,B1,разочаран
758,disappointing / это разочаровывает,Adjective,B1,разочара
759,disaster / катастрофа,Noun,A2,катастрофа
760,disc / диск,Noun,B2,диск
761,discipline / дисциплина,Noun,B2,дисциплина
762,discount / скидка,Noun Verb,"B1, B2",попуст
763,discover / Выяснить,Verb,A2,Откријте
764,discovery / открытие,Noun,A2,откриће
765,discuss / обсуждать,Verb,A1,дискутовати
766,discussion / обсуждение,Noun,A2,дискусија
767,disease / болезнь,Noun,A2,болест
768,dish / блюдо,Noun,A1,јело
769,dishonest / нечестный,Adjective,B2,непоштен
770,dislike / не нравится,Verb Noun,B1,не волети
771,dismiss / выбрасывать,Verb,B2,одбацити
772,display / отображать,Verb Noun,B2,приказ
773,distance / расстояние,Noun,A2,раздаљина
774,distribute / Поделиться,Verb,B2,делити
775,distribution / распределение,Noun,B2,дистрибуција
776,district / округ,Noun,B2,округ
777,divide / разделение,Verb Noun,"B1, B2",подела
778,division / разделение,Noun,B2,подела
779,divorced / в разводе,Adjective,A2,разведен
780,do / сделать,Verb auxiliary verb,A1,урадити
781,doctor / доктор,Noun,A1,доктор
782,document / документ,Noun Verb,"A2, B2",документ
783,documentary / документальный,Noun,B1,документарни филм
784,dog / собака,Noun,A1,пас
785,dollar / доллар США,Noun,A1,долар
786,domestic / одомашненный,Adjective,B2,домаћи
787,dominate / доминировать,Verb,B2,доминирати
788,donate / пожертвовать,Verb,B1,поклонити
789,door / дверь,Noun,A1,врата
790,double / двойной,"Adjective det. proNoun Verb , Adverb","A2, B1",двоструко
792,doubt / сомнения,Noun Verb,B1,сумња
793,down / вниз,Adverb Prep,A1,доле
794,download / скачивание,Verb Noun,A2,преузимање
795,downstairs / вниз,"Adverb , Adjective","A1, A2",доле
796,downwards / под гору,Adverb,B2,низбрдо
797,dozen / дюжина,Noun det,B2,туце
798,draft / черновик,Noun Verb,B2,нацрт
799,drag / груз,Verb,B2,терет
800,drama / драма,Noun,A2,драма
801,dramatic / драматический,Adjective,B2,драматичан
802,draw / рисовать,Verb,A1,нацртати
803,drawing / Рисование,Noun,A2,цртеж
804,dream / мечтать,Noun Verb,A2,сан
805,dress / платье,Noun Verb,A1,хаљина
806,dressed / одетый,Adjective,B1,дрессед
807,drink / напиток,Noun Verb,A1,пиће
808,drive / водить машину,Verb Noun,"A1, A2",погон
809,driver / водитель,Noun,A1,возач
810,driving / вождение,Noun,A2,дривинг
811,drop / капитан,Verb Noun,"A2, B1",кап
812,drug / лекарственное средство,Noun,A2,лек
813,drum / барабан,Noun,B1,бубањ
814,drunk / пьяный,Adjective,B1,пијан
815,dry / внедорожник,"Adjective, Verb",A2,СУВ
816,due / потому что,Adjective,B1,због
817,during / в течение,prep,A1,у току
818,dust / пыль,Noun,B1,прашина
819,duty / долг,Noun,B1,дужност
820,DVD / DVD,Noun,A1,ДВД
821,each / каждый,det./proNoun/Adverb,A1,сваки
822,ear / ухо,Noun,A1,уво
823,early / рано,Adjective Adverb,A1,рано
824,earn / зарабатывать,Verb,A2,зарадити
825,earth / страна,Noun,A2,земља
826,earthquake / землетрясение,Noun,B1,земљотрес
827,easily / легкий,Adverb,A2,лако
828,east / Восток,Noun Adjective Adverb,A1,исток
829,eastern / Восточный,Adjective,B1,источни
830,easy / легкий,Adjective,A1,лако
831,eat / есть,Verb,A1,јести
832,economic / экономический,Adjective,B1,економски
833,economy / экономика,Noun,B1,привреда
834,edge / край,Noun,B1,Ивица
835,edit / Исправить,Verb,B2,Уредити
836,edition / версия,Noun,B2,издање
837,editor / редактор,Noun,B1,уредник
838,educate / воспитывать,Verb,B1,образовати
839,educated / образованный,Adjective,B1,образован
840,education / образование,Noun,A2,образовање
841,educational / образовательный,Adjective,B1,образовни
842,effect / эффект,Noun,A2,дејство
843,effective / эффективный,Adjective,B1,ефикасан
844,effectively / эффективно,Adverb,B1,ефектно
845,efficient / эффективный,Adjective,B2,ефикасан
846,effort / усилие,Noun,B1,напор
847,egg / Яйцо,Noun,A1,јаје
848,eight / восемь,number,A1,осам
849,eighteen / 18,number,A1,осамнаест
850,eighty / восемьдесят,number,A1,осамдесет
851,either / или же,det./proNoun Adverb,A2,или
852,elderly / пожилые люди,Adjective,B2,старије особе
853,elect / Выбранный,Verb,B2,изабрани
854,election / выбор,Noun,B1,избор
855,electric / электрический,Adjective,A2,електрични
856,electrical / электрический,Adjective,A2,елецтрицал
857,electricity / электричество,Noun,A2,електрична енергија
858,electronic / в электронном виде,Adjective,A2,електронски
859,element / элемент,Noun,B1,елемент
860,elephant / слон,Noun,A1,слон
861,eleven / одиннадцать,number,A1,Једанаест
862,else / Другой,Adverb,A1,друго
863,elsewhere / в другом месте,Adverb,B2,другде
864,email / Эл. почта,Noun Verb,A1,e-маил
865,embarrassed / смущенный,Adjective,B1,збуњен
866,embarrassing / смущающий,Adjective,B1,посрамљујући
867,emerge / появляться,Verb,B2,појављују
868,emergency / срочный,Noun,B1,хитан
869,emotion / эмоция,Noun,B1,емоција
870,emotional / эмоциональный,Adjective,B2,емотиван
871,emphasis / выделение,Noun,B2,истицање
872,emphasize / подчеркивать,Verb,B2,нагласити
873,employ / нанимать,Verb,A2,запошљавају
874,employee / Сотрудники,Noun,A2,запослени
875,employer / работодатель,Noun,A2,послодавац
876,employment / трудоустройство,Noun,B1,радни однос
877,empty / опорожнить его,"Adjective, Verb","A2, B1",испразните
878,enable / включить,Verb,B2,омогућити
879,encounter / встреча,Verb Noun,B2,сусрет
880,encourage / поощрять,Verb,B1,охрабрити
881,end / конец,Noun Verb,A1,крај
882,ending / окончательный,Noun,A2,завршни
883,enemy / враг,Noun,B1,непријатељ
884,energy / энергия,Noun,A2,енергија
885,engage / привлекать,Verb,B2,ангажовати
886,engaged / увлеченный,Adjective,B1,ангажован
887,engine / двигатель,Noun,A2,мотор
888,engineer / инженер,Noun,A2,инжењер
889,engineering / инженерия,Noun,B1,инжењеринг
890,enhance / Улучшать,Verb,B2,Побољшати
891,enjoy / наслаждаться,Verb,A1,уживати
892,enormous / огромный,Adjective,A2,огроман
893,enough / достаточно,det. proNoun Adverb,A1,довољно
894,enquiry / запрос,Noun,B2,упит
895,ensure / предоставлять,Verb,B2,обезбедити
896,enter / войти,Verb,A2,унети
897,entertain / развлекать,Verb,B1,забавити
898,entertainment / Развлечения,Noun,B1,Забава
899,enthusiasm / энтузиазм,Noun,B2,ентузијазам
900,enthusiastic / получивший удовольствие,Adjective,B2,одушевљен
901,entire / весь,Adjective,B2,цео
902,entirely / полностью,Adverb,B2,потпуно
903,entrance / вход,Noun,B1,улаз
904,entry / вход,Noun,B1,улазак
905,environment / Окружающая среда,Noun,A2,Животна средина
906,environmental / относящийся к окружающей среде,Adjective,B1,еколошки
907,episode / эпизод,Noun,B1,епизода
908,equal / равный,"Adjective, Verb Noun","B1, B2",једнак
909,equally / в равной степени,Adverb,B1,једнако
910,equipment / оборудование,Noun,A2,опрема
911,error / ошибка,Noun,A2,грешка
912,escape / побег,Verb Noun,B1,есцапе
913,especially / особенно,Adverb,A2,посебно
914,essay / эссе,Noun,A2,есеј
915,essential / существенный,Adjective,B1,суштински
916,establish / установить,Verb,B2,успоставити
917,estate / имущество,Noun,B2,имање
918,estimate / оценка,Verb Noun,B2,процена
919,ethical / этический,Adjective,B2,етички
920,euro / Евро,Noun,A1,евро
921,"evaluate / оценивать, оценивать",Verb,B2,"проценити, оценити"
922,even / Даже,AdVerb Adjective,"A1, B2",Чак
923,evening / вечер,Noun,A1,вече
924,event / событие,Noun,A1,догађај
925,eventually / в конце концов,Adverb,B1,коначно
926,ever / и когда,Adverb,A1,икад
927,every / каждый,det,A1,сваки
928,everybody / все,proNoun,A1,сви
929,everyday / ежедневно,Adjective,A2,сваки дан
930,everyone / каждый,proNoun,A1,свако
931,everything / все,proNoun,A1,све
932,everywhere / везде,Adverb,A2,свуда
933,evidence / доказательство,Noun,A2,доказ
934,evil / зло,"Adjective, Noun",B2,зло
935,exact / правильный,Adjective,A2,тачан
936,exactly / именно так,Adverb,A2,баш тако
937,exam / экзамен,Noun,A1,испит
938,examination / обзор,Noun,B2,преглед
939,examine / исследовать,Verb,B1,испитати
940,example / пример,Noun,A1,пример
941,excellent / превосходно,Adjective,A2,одличан
942,except / кроме,"prep, conj","A2, B1",осим
943,exchange / обмен,Noun Verb,B1,размена
944,excited / взволнованный,Adjective,A1,узбуђен
945,excitement / трепет,Noun,B1,узбуђење
946,exciting / захватывающе,Adjective,A1,узбудљив
947,excuse / произношение,Noun Verb,B2,изговор
948,executive / должностное лицо,Noun Adjective,B2,извршни
949,exercise / упражнение,Noun Verb,A1,вежба
950,exhibition / Выставка,Noun,B1,Изложба
951,exist / Шмидт,Verb,A2,Шмита
952,existence / существование,Noun,B2,постојање
953,expand / расширять,Verb,B1,проширити
954,expect / ожидать,Verb,A2,очекивати
955,expectation / ожидание,Noun,B2,очекивање
956,expected / ожидал,Adjective,B1,очекиван
957,expedition / экспедиция,Noun,B1,експедиција
958,expense / Стоимость,Noun,B2,трошак
959,expensive / дорогой,Adjective,A1,скупо
960,experience / опыт,Noun Verb,"A2, B1",искуство
961,experienced / опытный,Adjective,B1,искусан
962,experiment / эксперимент,Noun Verb,"A2, B1",експеримент
963,expert / эксперт,Noun Adjective,A2,експерт
964,explain / объяснять,Verb,A1,објаснити
965,explanation / объяснение,Noun,A2,објашњење
966,explode / взорваться,Verb,B1,експлодирати
967,exploration / исследовательская работа,Noun,B2,истраживање
968,explore / исследовать,Verb,B1,истражити
969,explosion / взрыв,Noun,B1,експлозија
970,export / экспорт,Noun Verb,B1,извоз
971,expose / разоблачать,Verb,B2,изложити
972,express / выражать,Verb,A2,изразити
973,expression / выражение,Noun,A2,израз
974,extend / расширять,Verb,B2,проширити
975,extent / Объем,Noun,B2,обим
976,external / внешний,Adjective,B2,спољни
977,extra / дополнительный,"Adjective, Noun Adverb","A1, B1",екстра
978,extraordinary / экстраординарный,Adjective,B2,изванредан
979,extreme / крайний,"Adjective, Noun","A2, B2",екстреман
980,extremely / крайний,Adverb,A2,екстремно
981,eye / глаз,Noun,A1,око
982,face / лицо,Noun Verb,"A1, B1",лице
983,facility / завод,Noun,B2,постројење
984,fact / факт,Noun,A1,чињеница
985,factor / фактор,Noun,A2,фактор
986,factory / фабрика,Noun,A2,фабрика
987,fail / Файл,Verb,A2,Фаил
988,failure / отказ,Noun,B2,неуспех
989,fair / справедливый,Adjective,A2,фер
990,fairly / справедливый,Adverb,B1,поштено
991,faith / вера,Noun,B2,вера
992,fall / упасть,Verb Noun,"A1, A2",пасти
993,FALSE / ЛОЖЬ,Adjective,A1,ЛАЖ
994,familiar / известен,Adjective,B1,познат
995,family / семья,Noun Adjective,A1,породица
996,famous / известен,Adjective,A1,познат
997,fan / поклонник,Noun,A2,лепеза
998,fancy / воображение,Verb Adjective,B1,машта
999,fantastic / фантастика,Adjective,A1,фантастичан
1000,far / далеко,"Adverb , Adjective","A1, B1",далеко
1001,farm / ферма,Noun Verb,"A1, A2",фарма
1002,farmer / фермер,Noun,A1,пољопривредник
1003,farming / сельское хозяйство,Noun,A2,Пољопривреда
1004,fascinating / очаровательный,Adjective,B1,фасцинантан
1005,fashion / мода,Noun,A2,мода
1006,fashionable / современный,Adjective,B1,модеран
1007,fast / быстро,"Adjective, Adverb",A1,брзо
1008,fasten / застегнуть,Verb,B1,причврстити
1009,fat / толстый,"Adjective, Noun","A1, A2",дебео
1010,father / Отец,Noun,A1,отац
1011,fault / ошибка,Noun,B2,грешка
1012,favour / услуга,Noun Verb,"B1, B2",фавоур
1013,favourite / любимый,"Adjective, Noun",A1,фаворит
1014,fear / Страх,Noun Verb,"A2, B1",страх
1015,feather / ручка,Noun,B2,перо
1016,feature / особенность,Noun Verb,"A2, B1",одлика
1017,February / февраль,Noun,A1,фебруар
1018,fee / компенсация,Noun,B2,надокнада
1019,feed / источник питания,Verb Noun,"A2, B2",напајање
1020,feedback / Обратная связь,Noun,B2,повратна информација
1021,feel / чувствовать,Verb Noun,"A1, B2",осетити
1022,feeling / Чувство,Noun,A1,Осећај
1023,fellow / коллега,Adjective,B2,колега
1024,female / Женщина,"Adjective, Noun",A2,Женско
1025,fence / забор,Noun,B1,ограда
1026,festival / фестиваль,Noun,A1,Фестивал
1027,few / немного,"det./Adjective, proNoun",A1,мало
1028,fiction / вымысел,Noun,A2,фикција
1029,field / поле,Noun,A2,поље
1030,fifteen / пятнадцать,number,A1,петнаест
1031,fifth / пятый,number,A1,пети
1032,fifty / 50,number,A1,педесет
1033,fight / Борьба,Verb Noun,A2,борити се
1034,fighting / Борьба,Noun,B1,борба
1035,figure / фигура,Noun Verb,"A2, B2",фигура
1036,file / файл,Noun Verb,"B1, B2",фајл
1037,fill / зарядка,Verb,A1,пуњење
1038,film / Кино,Noun Verb,"A1, A2",филм
1039,final / окончательный,"Adjective, Noun","A1, A2",коначни
1040,finally / в конце концов,Adverb,A2,коначно
1041,finance / финансы,Noun Verb,B2,финансије
1042,financial / финансовый,Adjective,B1,финансијски
1043,find / найти,Verb,A1,пронаћи
1044,finding / найти,Noun,B2,налаз
1045,fine / отлично,Adjective,A1,фино
1046,finger / Палец,Noun,A2,прст
1047,finish / конец,Verb Noun,"A1, A2",завршити
1048,fire / Огонь,Noun Verb,"A1, B1",пожар
1049,firm / Компания,Noun,B2,фирма
1050,first / Первый,det./number.AdVerb Noun,"A1, A2",први
1051,firstly / Первый,Adverb,A2,Прво
1052,fish / рыба,Noun Verb,"A1, A2",риба
1053,fishing / ловит рыбу,Noun,A2,риболов
1054,fit / Поместиться,Verb Adjective,A2,Фит
1055,fitness / фитнес,Noun,B1,фитнес
1056,five / пять,number,A1,пет
1057,fix / исправлено,Verb Noun,"A2, B2",фиксни
1058,fixed / исправлено,Adjective,B1,фиксна
1059,flag / флаг,Noun,B1,застава
1060,flame / пламя,Noun,B2,пламен
1061,flash / вспышка,Noun Verb,B2,блиц
1062,flat / плоский,Noun Adjective,"A1, A2",раван
1063,flexible / гибкий,Adjective,B2,флексибилан
1064,flight / полет,Noun,A1,лет
1065,float / плавать,Verb,B2,пловак
1066,flood / наводнение,Noun Verb,B1,поплава
1067,floor / пол,Noun,A1,под
1068,flour / мука,Noun,B1,брашно
1069,flow / поток,Verb Noun,B1,проток
1070,flower / цветок,Noun,A1,цвет
1071,flu / грипп,Noun,A2,грип
1072,fly / летать,Verb Noun,"A1, A2",летети
1073,flying / летающий,Noun Adjective,A2,летећи
1074,focus / фокус,Verb Noun,A2,фокус
1075,fold / складывать,Verb Noun,"B1, B2",преклопити
1076,folding / Собрать,Adjective,B2,на склапање
1077,folk / люди,Noun Adjective,B1,људи
1078,follow / следить,Verb,A1,пратити
1079,following / следующий,"Adjective, Noun prep","A2, B1, B2",следећи
1080,food / еда,Noun,A1,храна
1081,foot / нога,Noun,A1,нога
1082,football / футбол,Noun,A1,Фудбал
1083,for / За,prep.,A1,за
1084,force / сила,NounVerb,B1,сила
1085,foreign / иностранный,Adjective,A2,страни
1086,forest / лес,Noun,A2,шума
1087,forever / навсегда,Adverb,B1,заувек
1088,forget / забывать,Verb,A1,заборавити
1089,forgive / простить,Verb,B2,опростити
1090,fork / вилка,Noun,A2,виљушка
1091,form / форма,NounVerb,A1,образац
1092,formal / формальный,Adjective,A2,формалан
1093,former / Бывший,Adjective,B2,бивши
1094,fortunately / К счастью,Adverb,A2,срећом
1095,fortune / богатство,Noun,B2,богатство
1096,forty / сорок,number,A1,четрдесет
1097,forward / вперед,AdVerb Adjective,"A2, B2",напред
1098,found / найденный,Verb,B2,нашао
1099,four / четыре,number,A1,четири
1100,fourteen / четырнадцать,number,A1,четрнаест
1101,fourth / четвертый,number,A1,четврти
1102,frame / Баран,NounVerb,B1,Рам
1103,free / свободно,"Adjective, AdVerb Verb","A1,A2,B2",бесплатно
1104,freedom / свобода,Noun,B2,слобода
1105,freeze / заморозить,Verb,B1,замрзнути
1106,frequency / частота,Noun,B2,фреквенција
1107,frequently / Часто,Adverb,B1,често
1108,fresh / свежий,Adjective,A2,свеж
1109,Friday / Пятница,Noun,A1,петак
1110,fridge / холодильник,Noun,A2,фрижидер
1111,friend / друг,Noun,A1,пријатељ
1112,friendly / дружелюбный,Adjective,A1,пријатељски
1113,friendship / дружба,Noun,B1,пријатељство
1114,frighten / напугать,Verb,B1,уплашити
1115,frightened / напугана,Adjective,B1,уплашило
1116,frightening / ужасающий,Adjective,B1,застрашујући
1117,frog / лягушка,Noun,A2,жаба
1118,from / от,prep,A1,од
1119,front / фронт,Noun Adjective,A1,предњи
1120,frozen / замороженный,Adjective,B1,смрзнут
1121,fruit / фрукты,Noun,A1,воће
1122,fry / жарить,Verb,B1,пржити
1123,fuel / топливо,Noun Verb,"B1, B2",гориво
1124,full / полный,Adjective,A1,пун
1125,fully / полностью,Adverb,B2,потпуно
1126,fun / весело,Noun Adjective,"A1, A2",забавно
1127,function / функция,Noun Verb,"B1, B2",функција
1128,fund / фонд,Noun Verb,B2,фонд
1129,fundamental / базовый,Adjective,B2,основни
1130,funding / финансирование,Noun,B2,финансирање
1131,funny / смешной,Adjective,A1,смешан
1132,fur / шерсть,Noun,B1,крзно
1133,furniture / мебель,Noun,A2,намештај
1134,further / дальше,"Adjective, Adverb","A2, B1",даље
1135,furthermore / следует,Adverb,B2,у наставку
1136,future / будущее,Noun Adjective,"A1, A2",будућност
1137,gain / прирост,Verb Noun,B2,добит
1138,gallery / галерея,Noun,A2,галерија
1139,game / игра,Noun,A1,игра
1140,gang / банда,Noun,B2,банда
1141,gap / зазор,Noun,A2,раскорак
1142,garage / гараж,Noun,B1,гаража
1143,garden / сад,Noun,A1,башта
1144,gas / газ,Noun,A2,гасни
1145,gate / ворота,Noun,A2,капија
1146,gather / собирать,Verb,B1,скупити
1147,general / Общий,Adjective,A2,Генерал
1148,generally / Обычно,Adverb,B1,обично
1149,generate / Создать,Verb,B2,Генериши
1150,generation / поколение,Noun,B1,генерација
1151,generous / щедрый,Adjective,B1,великодушан
1152,genre / жанр,Noun,B2,жанр
1153,gentle / тендер,Adjective,B1,нежан
1154,gentleman / Господин,Noun,B1,господин
1155,geography / география,Noun,A1,географија
1156,get / получить,Verb,A1,добити
1157,ghost / призрак,Noun,B1,дух
1158,giant / гигант,"Adjective, Noun",B1,џин
1159,gift / подарок,Noun,A2,поклон
1160,girl / девочка,Noun,A1,девојка
1161,girlfriend / девочка,Noun,A1,девојка
1162,give / дайте,Verb,A1,дати
1163,glad / Уважаемые,Adjective,B1,drago
1164,glass / стакан,Noun,A1,стакло
1165,global / Глобальный,Adjective,B1,глобалан
1166,glove / перчатка,Noun,B1,рукавица
1167,go / г-н,Verb Noun,"A1, B1",Го
1168,goal / цель,Noun,A2,циљ
1169,God / Бог,Noun,A2,Бог
1170,gold / золото,Noun Adjective,A2,злато
1171,golf / гольф,Noun,A2,голф
1172,good / Хорошо,"Adjective, Noun","A1, A2",Добро
1173,goodbye / до свидания,exclam. Noun,A1,збогом
1174,goods / товары,Noun,B1,роба
1175,govern / управлять,Verb,B2,управљати
1176,government / Правительство,Noun,A2,влада
1177,grab / Хватать,Verb,B2,грабити
1178,grade / учебный класс,Noun Verb,"B1, B2",разред
1179,gradually / постепенно,Adverb,B2,постепено
1180,graduate / выпускник,Noun Verb,B1,дипломирани
1181,grain / зерно,Noun,B1,зрно
1182,grand / великий,Adjective,B2,grand
1183,grandfather / дедушка,Noun,A1,деда
1184,grandmother / бабушка,Noun,A1,бака
1185,grandparent / дедушка,Noun,A1,деда
1186,grant / одобрить,Verb Noun,B2,одобрити
1187,grass / трава,Noun,A2,трава
1188,grateful / благодарный,Adjective,B1,захвалан
1189,great / большой,Adjective,A1,сјајно
1190,green / зеленый,"Adjective, Noun",A1,зелен
1191,greet / Скажи привет,Verb,A2,Поздравите
1192,grey / серый,"Adjective, Noun",A1,сив
1193,ground / земля,Noun,A2,тло
1194,group / группа,Noun,A1,група
1195,grow / расти,Verb,A1,расти
1196,growth / рост,Noun,B1,раст
1197,guarantee / гарантия,Verb Noun,B2,гаранција
1198,guard / сторожить,Noun Verb,B1,стражар
1199,guess / Наверное,Verb Noun,A1,Ваљда
1200,guest / гость,Noun,A2,гост
1201,guide / руководство,Noun Verb,A2,Водич
1202,guilty / виновный,Adjective,B1,крив
1203,guitar / гитара,Noun,A1,гитара
1204,gun / пистолет,Noun,A2,пиштољ
1205,guy / парень,Noun,A2,момак
1206,gym / Спортзал,Noun,A1,Теретана
1207,habit / привычка,Noun,A2,навика
1208,hair / волосы,Noun,A1,коса
1209,half / половина,"Noundet.proNoun, Adverb","A1, A2",пола
1210,hall / шутка,Noun,A2,сала
1211,hand / рука,Noun Verb,"A1, B1",рука
1212,handle / справиться,Verb Noun,B2,ручка
1213,hang / повесить трубку,Verb,B1,обесити
1214,happen / произойдет,Verb,A1,десити се
1215,happily / удачи,Adverb,A2,сретно
1216,happiness / счастье,Noun,B1,срећа
1217,happy / счастливый,Adjective,A1,срећан
1218,hard / жесткий,"Adjective, Adverb",A1,тврд
1219,hardly / едва,Adverb,B1,једва
1220,harm / жалость,Noun Verb,B2,штета
1221,harmful / вредный,Adjective,B2,штетан
1222,hat / шляпа,Noun,A1,шешир
1223,hate / ненависть,Verb Noun,"A1, B1",мржње
1224,have / имеют,Verb auxiliary Verb,"A1, A2",имати
1225,have to modal / Иметь модальный,Verb,A1,Хаве То модални
1226,he / он,proNoun,A1,он
1227,head / глава,Noun Verb,"A1, B1",глава
1228,headache / головная боль,Noun,A2,главобоља
1229,headline / заглавие,Noun,B1,наслов
1230,health / здоровье,Noun,A1,здравље
1231,healthy / здоровый,Adjective,A1,здрав
1232,hear / не говори,Verb,A1,чути
1233,hearing / слух,Noun,B2,слух
1234,heart / сердце,Noun,A2,срце
1235,heat / нагревать,Noun Verb,A2,топлота
1236,heating / обогрев,Noun,B1,грејање
1237,heaven / небо,Noun,B2,небо
